firm_crd,firm_name,entity_id,schedule,name,jurisdiction,title_or_status,date,ownership_code,control_person,is_entity,relationship_type
103727,"GAGNON SECURITIES, LLC",8552,A,"FERRANTE, LISA CATHERINE",I,MEMBER,02/2006,NA,Y,False,
103727,"GAGNON SECURITIES, LLC",8552,A,"TRANCHIDA, ALISON O'BRIEN",I,MEMBER,03/2007,NA,Y,False,
103727,"GAGNON SECURITIES, LLC",8552,A,"TAYLOR, WILLIS GITT",I,MEMBER,05/2008,B,Y,False,
103727,"GAGNON SECURITIES, LLC",8552,A,"D'ALESSANDRO, MARIANNE",I,MEMBER,03/2011,NA,Y,False,
103727,"GAGNON SECURITIES, LLC",8552,A,"GAROFALO, ADRIENNE MICHELLE",I,MEMBER,03/2015,NA,N,False,
103727,"GAGNON SECURITIES, LLC",8552,A,"D'ALESSANDRO, MARIANNE",I,CHIEF FINANCIAL OFFICER,08/2017,NA,Y,False,
103727,"GAGNON SECURITIES, LLC",8552,A,"TRANCHIDA, ALISON ANNE",I,OPERATIONS MANAGER,12/2017,NA,Y,False,
103727,"GAGNON SECURITIES, LLC",8552,A,"FERRANTE, LISA CATHERINE",I,CHIEF COMPLIANCE OFFICER,12/2017,NA,Y,False,
103727,"GAGNON SECURITIES, LLC",8552,A,"FERRANTE, LISA CATHERINE",I,CROP/ROP,12/2017,NA,Y,False,
103727,"GAGNON SECURITIES, LLC",8552,A,"ROBERTS, CYNTHIA ANDREA",I,MEMBER,01/2018,NA,N,False,
103727,"GAGNON SECURITIES, LLC",8552,A,"CAPPELLO, JAMES MATTHEW",I,MEMBER,01/2021,NA,N,False,
103727,"GAGNON SECURITIES, LLC",8552,A,"FERRANTE, LISA CATHERINE",I,CHIEF ADMINISTRATIVE OFFICER,02/2023,NA,Y,False,
103727,"GAGNON SECURITIES, LLC",8552,A,"VINGIELLO, JESSICA ROSE",I,MEMBER,01/2025,NA,N,False,
103727,"GAGNON SECURITIES, LLC",8552,A,"COLBY, JAMES",I,MEMBER,01/2024,NA,N,False,
103727,"GAGNON SECURITIES, LLC",8552,A,"ROSENFELD, GABRIELLE",I,MEMBER,01/2024,NA,N,False,
10409,"MML INVESTORS SERVICES, LLC",2176,A,MASSMUTUAL HOLDING LLC,DE,,MEMBER,,,True,
10409,"MML INVESTORS SERVICES, LLC",2176,A,"VACCARO, JOHN ARTHUR",I,,CHAIRMAN EMERITUS,,,False,
10409,"MML INVESTORS SERVICES, LLC",2176,A,"BAUER, THOMAS K",I,,CHIEF TECHNOLOGY OFFICER,,,False,
10409,"MML INVESTORS SERVICES, LLC",2176,A,"MINK, DAVID MYERS",I,,VICE PRESIDENT AND CHIEF OPERATIONS OFFICER,,,False,
10409,"MML INVESTORS SERVICES, LLC",2176,A,"WILKINSON, MARY BEA",I,,VICE PRESIDENT,,,False,
10409,"MML INVESTORS SERVICES, LLC",2176,A,"CRADDOCK, GEOFFREY",I,,DIRECTOR,,,False,
10409,"MML INVESTORS SERVICES, LLC",2176,A,"ROGERS REID, COURTNEY MCKENZIE",I,,CHIEF COMPLIANCE OFFICER,,,False,
10409,"MML INVESTORS SERVICES, LLC",2176,A,"DUCH III, EDWARD KARL",I,,"CHIEF LEGAL OFFICER, SECRETARY AND VICE PRESIDENT",,,False,
10409,"MML INVESTORS SERVICES, LLC",2176,A,"RISPOLI, FRANK JOSEPH",I,,CHIEF FINANCIAL OFFICER AND TREASURER,,,False,
10409,"MML INVESTORS SERVICES, LLC",2176,A,"BOWMAN, VAUGHN CHARLES",I,,"CHIEF EXECUTIVE OFFICER, PRESIDENT AND CHAIRMAN OF THE BOARD",,,False,
10409,"MML INVESTORS SERVICES, LLC",2176,A,"LAPIANA, PAUL ANTHONY",I,,DIRECTOR,,,False,
10409,"MML INVESTORS SERVICES, LLC",2176,A,"REILLY, JENNIFER RHODES",I,,DIRECTOR,,,False,
10409,"MML INVESTORS SERVICES, LLC",2176,A,"MALLEE, JOSEPH PATRICK III",I,,DIRECTOR,,,False,
10409,"MML INVESTORS SERVICES, LLC",2176,A,"RANDALL, GEORGE ASHLEY IV",I,,FIELD RISK OFFICER,,,False,
104518,"DWS INVESTMENT MANAGEMENT AMERICAS, INC.",327,A,"MILLETTE, JOHN, BRIAN",I,CHIEF LEGAL OFFICER,05/2015,NA,Y,False,
104518,"DWS INVESTMENT MANAGEMENT AMERICAS, INC.",327,A,DWS USA CORPORATION,DE,SHAREHOLDER,08/2017,E,Y,True,wholly_owned
104518,"DWS INVESTMENT MANAGEMENT AMERICAS, INC.",327,A,"GOVEIA, MICHELLE, SHARON",I,CHIEF COMPLIANCE OFFICER,08/2017,NA,Y,False,
104518,"DWS INVESTMENT MANAGEMENT AMERICAS, INC.",327,A,"BIANCO, DAVID, S",I,"DIRECTOR,CHIEF EXECUTIVE OFFICER AND PRESIDENT",10/2025,NA,Y,False,
104518,"DWS INVESTMENT MANAGEMENT AMERICAS, INC.",327,A,"CATRAMBONE, GEORGE, L",I,,DIRECTOR & CHAIRMAN,,,False,
104518,"DWS INVESTMENT MANAGEMENT AMERICAS, INC.",327,A,"UZCAN, HEPSEN",I,,DIRECTOR,,,False,
104518,"DWS INVESTMENT MANAGEMENT AMERICAS, INC.",327,A,"Baluyot, Rheeza, Ramos",I,,CHIEF FINANCIAL OFFICER & TREASURER,,,False,
104540,LAKESIDE ADVISORS INC,10630,A,"FREY, ROBERT, EVERETT",I,PRESIDENT / CHIEF COMPLIANCE OFFICER / TREASURER,01/1984,E,Y,False,wholly_owned
104540,LAKESIDE ADVISORS INC,10630,A,"MANDT, KRISTI, ANN",I,VICE PRESIDENT / SECRETARY,02/2005,NA,Y,False,
104540,LAKESIDE ADVISORS INC,10630,A,"OKAMOTO-SWANSON, MIKI",I,VICE PRESIDENT,11/2010,NA,Y,False,
104543,HARDING LOEVNER LP,4323,A,"HALLETT, SIMON",I,VICE CHAIRMAN AND LIMITED PARTNER,06/1992,NA,Y,False,
104543,HARDING LOEVNER LP,4323,A,"TITAN NJ GP HOLDINGS, INC.",DE,OWNER AND GENERAL PARTNER,08/2009,NA,Y,True,mutual_structure
104543,HARDING LOEVNER LP,4323,A,"TITAN NJ LP HOLDINGS, LLC",DE,OWNER AND LIMITED PARTNER,08/2009,E,Y,True,wholly_owned
104543,HARDING LOEVNER LP,4323,A,"BELLISH, AARON, JEFFREY",I,"CHAIRMAN, CHIEF EXECUTIVE OFFICER AND LIMITED PARTNER",09/2012,NA,Y,False,
104543,HARDING LOEVNER LP,4323,A,"ROLL, FERRILL, D",I,"VICE PRESIDENT, CHIEF INVESTMENT OFFICER, PORTFOLIO MANAGER, AND LIMITED PARTNER",02/1996,NA,Y,False,
104543,HARDING LOEVNER LP,4323,A,HL FEEDER L.P.,DE,OWNER AND LIMITED PARTNER,12/2020,B,Y,True,
104543,HARDING LOEVNER LP,4323,A,"TOGNERI, LISA, ANN",I,"VICE PRESIDENT, CHIEF FINANCIAL OFFICER, TREASURER, AND LIMITED PARTNER",07/2021,NA,N,False,
104543,HARDING LOEVNER LP,4323,A,"KARATZ, MAURA",I,"VICE PRESIDENT, CHIEF ADMINISTRATIVE OFFICER, AND LIMITED PARTNER",01/2022,NA,Y,False,
104543,HARDING LOEVNER LP,4323,A,"TRAMUTOLA, JARED, RICHARD",I,"VICE PRESIDENT, CHIEF OPERATING OFFICER AND LIMITED PARTNER",01/2023,NA,N,False,
104543,HARDING LOEVNER LP,4323,A,"SAKAI, YOKO",I,"VICE PRESIDENT, DIRECTOR OF RESEARCH, ANALYST, LIMITED PARTNER",07/2023,NA,Y,False,
104543,HARDING LOEVNER LP,4323,A,"VARS, RAYMOND, THEODORE",I,"VICE PRESIDENT, DIRECTOR OF INVESTMENT COMMUNICATION, PORTFOLIO SPECIALIST, AND LIMITED PARTNER",02/2025,NA,Y,False,
104543,HARDING LOEVNER LP,4323,A,"SIMOLDONI, ROBERT, NICHOLAS",I,CHIEF COMPLIANCE OFFICER,01/2026,NA,N,False,
104543,HARDING LOEVNER LP,4323,A,"Price, Lisa",I,GENERAL COUNSEL AND LIMITED PARTNER,01/2026,NA,N,False,
104543,HARDING LOEVNER LP,4323,A,"AFFILIATED MANAGERS GROUP, INC.",DE,"TITAN NJ LP HOLDINGS, LLC",OWNER,E,N,True,wholly_owned
104545,HENSSLER FINANCIAL,8531,A,"HENSSLER, PATRICIA, TAYLOR",I,TREASURER,09/1995,NA,Y,False,
104545,HENSSLER FINANCIAL,8531,A,"LAKO, WILLIAM, GEORGE",I,PRINCIPAL AND PRESIDENT,12/1998,D,Y,False,wholly_owned
104545,HENSSLER FINANCIAL,8531,A,"THOMAS, JENNIFER, JONES",I,PRINCIPAL,07/2000,B,Y,False,
104545,HENSSLER FINANCIAL,8531,A,"REEVES, CHRISTOPHER, EVERITT",I,CHIEF COMPLIANCE OFFICER,05/2007,NA,Y,False,
104549,MIDDLETON & COMPANY INC.,7815,A,"SARGENT, JOHN, K.",I,CHIEF EXECUTIVE OFFICER; MANAGING DIRECTOR,07/2016,A,Y,False,
104549,MIDDLETON & COMPANY INC.,7815,A,MIDDLETON & COMPANY EMPLOYEE STOCK OWNERSHIP TRUST,DE,TRUST,03/2004,E,Y,True,wholly_owned
104549,MIDDLETON & COMPANY INC.,7815,A,"MCCORMACK, MARIA",I,CHIEF COMPLIANCE OFFICER; MANAGING DIRECTOR,06/2006,NA,Y,False,
104549,MIDDLETON & COMPANY INC.,7815,A,"BRUCH, ROBERT, GUY",I,CHIEF INVESTMENT OFFICER,07/2019,NA,Y,False,
104549,MIDDLETON & COMPANY INC.,7815,A,"BRUCH, ROBERT, GUY",I,MANAGING DIRECTOR,07/2021,NA,Y,False,
104549,MIDDLETON & COMPANY INC.,7815,A,"WALSH, ALICE, KENNEY",I,MIDDLETON & COMPANY EMPLOYEE STOCK OWNERSHIP TRUST,TRUSTEE,,Y,False,
104549,MIDDLETON & COMPANY INC.,7815,A,"SARGENT, JR., JOHN, K.",I,MIDDLETON & COMPANY EMPLOYEE STOCK OWNERSIP TRUST,TRUSTEE,,Y,False,
104549,MIDDLETON & COMPANY INC.,7815,A,"MCCORMACK, MARIA",I,MIDDLETON & COMPANY EMPLOYEE STOCK OWNERSHIP PLAN,TRUSTEE,,Y,False,
104550,IRIDIAN ASSET MANAGEMENT LLC,114,A,IRIDIAN EMPLOYEE HOLDINGS LLC,DE,MEMBER,11/2012,D,N,True,wholly_owned
104550,IRIDIAN ASSET MANAGEMENT LLC,114,A,KARCUB LLC,DE,,MEMBER; MANAGER,,,True,
104550,IRIDIAN ASSET MANAGEMENT LLC,114,A,"STONE, ERIC, SHANE",I,,"MANAGING DIRECTOR, EXECUTIVE COMMITTEE MEMBER",,,False,
104550,IRIDIAN ASSET MANAGEMENT LLC,114,A,"Wolt, Paul, Joseph",I,,CHIEF COMPLIANCE OFFICER,,,False,
104555,STRATEGIC ADVISERS LLC,9268,A,"GRYGLEWICZ, JAMES, DAVID",I,COMPLIANCE OFFICER,,,NA,False,
104555,STRATEGIC ADVISERS LLC,9268,A,FIDELITY ADVISORY HOLDINGS LLC,DE,MEMBER,,,E,True,
104555,STRATEGIC ADVISERS LLC,9268,A,"RIMMER, CHRISTOPHER, JOHN",I,"HEAD OF ASSET MANAGEMENT FINANCE, TREASURER",,,NA,False,
104555,STRATEGIC ADVISERS LLC,9268,A,"STONE, JOHN, ANDREW",I,CHIEF INVESTMENT OFFICER,,,NA,False,
104555,STRATEGIC ADVISERS LLC,9268,A,"BROWN, STEPHANIE, JEAN",I,CHIEF COMPLIANCE OFFICER,,,NA,False,
104555,STRATEGIC ADVISERS LLC,9268,A,"PENA, CATHERINE, LOUISE",I,CHIEF INVESTMENT OFFICER,,,NA,False,
104555,STRATEGIC ADVISERS LLC,9268,A,"GRENIER, BART, ALEXANDER",I,DIRECTOR,,,NA,False,
104555,STRATEGIC ADVISERS LLC,9268,A,"DOGAN, KERI, S",I,CHIEF OPERATING OFFICER,,,NA,False,
104555,STRATEGIC ADVISERS LLC,9268,A,"IRVING, WILLIAM, WOOD",I,"PRESIDENT, DIRECTOR",,,NA,False,
104555,STRATEGIC ADVISERS LLC,9268,A,"JOHNSON IV, EDWARD, CROSBY",I,FMR LLC,ELECTED MANAGER,,04/2006,False,
104555,STRATEGIC ADVISERS LLC,9268,A,"JOHNSON, ABIGAIL, PIERREPONT",I,FMR LLC,ELECTED MANAGER,,05/1994,False,
104555,STRATEGIC ADVISERS LLC,9268,A,"WILENS, MICHAEL, ENGBER",I,FMR LLC,ELECTED MANAGER,,10/2014,False,
104555,STRATEGIC ADVISERS LLC,9268,A,FMR LLC,DE,FIDELITY ADVISORY HOLDINGS LLC,MEMBER,,03/2018,True,
104555,STRATEGIC ADVISERS LLC,9268,A,"NEFF, STEPHEN, CHARLES",I,FMR LLC,ELECTED MANAGER,,04/2023,False,
104566,MATTHEW 25 MANAGEMENT CORP,2326,A,"MULHOLLAND, MARK",I,PRESIDENT,04/1995,E,Y,False,wholly_owned
104566,MATTHEW 25 MANAGEMENT CORP,2326,A,"BUCK, LESLEY, ANNE",I,CHIEF COMPLIANCE OFFICER,08/2004,NA,Y,False,
104570,"CARDEROCK CAPITAL MANAGEMENT, INC.",2191,A,"KANE, DANIEL, ALAN",I,"PRESIDENT, SECRETARY AND CHIEF COMPLIANCE OFFICER",11/2006,E,Y,False,wholly_owned
104573,"PALOUSE CAPITAL MANAGEMENT, INC.",5689,A,"HICKS, CHRISTOPHER, KEIL",I,PRESIDENT & CHIEF COMPLIANCE OFFICER,12/2022,E,Y,False,wholly_owned
104573,"PALOUSE CAPITAL MANAGEMENT, INC.",5689,A,2015 HICKS FAMILY TRUST,DE,SHAREHOLDER,12/2023,B,N,True,
104573,"PALOUSE CAPITAL MANAGEMENT, INC.",5689,A,THE HICKS FAMILY 2008 TRUST,DE,SHAREHOLDER,12/2023,B,N,True,
104573,"PALOUSE CAPITAL MANAGEMENT, INC.",5689,A,"HANSLITS, LAURENCE, THOMAS",I,2015 HICKS FAMILY TRUST,TRUSTEE,,Y,False,
104573,"PALOUSE CAPITAL MANAGEMENT, INC.",5689,A,"HICKS, CHRISTOPHER, KEIL",I,THE HICKS FAMILY 2008 TRUST,TRUSTEE,,Y,False,
104576,"PEAR TREE ADVISORS, INC.",7756,A,"UMPHREY, WILLARD, LEE",I,DIRECTOR,05/1983,D,Y,False,wholly_owned
104576,"PEAR TREE ADVISORS, INC.",7756,A,"OKUROWSKI, LEON",I,"DIRECTOR, VICE PRESIDENT, TREASURER AND CLERK",05/1983,D,Y,False,wholly_owned
104576,"PEAR TREE ADVISORS, INC.",7756,A,"OKUROWSKI, LAWRIE, WELLS",I,OWNER,07/2000,D,N,False,wholly_owned
104576,"PEAR TREE ADVISORS, INC.",7756,A,"KESSINGER, DEBORAH, ANNE",I,CHIEF COMPLIANCE OFFICER,10/2006,NA,Y,False,
104576,"PEAR TREE ADVISORS, INC.",7756,A,LEON OKUROWSKI TRUST U/A DTD 5/14/2014 LEON OKUROWSKI TRUSTEE,DE,OWNER,04/2019,D,Y,True,wholly_owned
104576,"PEAR TREE ADVISORS, INC.",7756,A,"GRIFFIN, MARC, LAWRENCE",I,PRESIDENT,02/2025,NA,Y,False,
104581,"PALISADE CAPITAL MANAGEMENT, LP",877,A,"VERU, DENNISON, THEODORE",I,"SENIOR PARTNER, CHIEF INVESTMENT OFFICER",08/2004,NA,Y,False,
104581,"PALISADE CAPITAL MANAGEMENT, LP",877,A,"GOLDMAN, BRADLEY, ROBERT",I,"PARTNER, GENERAL COUNSEL, CHIEF COMPLIANCE OFFICER",01/2008,NA,Y,False,
104581,"PALISADE CAPITAL MANAGEMENT, LP",877,A,"BERMAN, ALISON, ANNE",I,"MANAGING PARTNER, PRESIDENT, CHIEF EXECUTIVE OFFICER",01/2018,NA,Y,False,
104581,"PALISADE CAPITAL MANAGEMENT, LP",877,A,"TANNUZZO, BEATA",I,"PARTNER, CHIEF FINANCIAL OFFICER",03/2018,NA,Y,False,
104581,"PALISADE CAPITAL MANAGEMENT, LP",877,A,"FEILER, MICHAEL, IAN",I,"PARTNER, PRIVATE WEALTH MANAGEMENT",04/2018,NA,Y,False,
104581,"PALISADE CAPITAL MANAGEMENT, LP",877,A,"PALISADE CAPITAL GP, LLC",DE,GENERAL PARTNER,02/2023,NA,Y,True,mutual_structure
104581,"PALISADE CAPITAL MANAGEMENT, LP",877,A,"PALISADE CAPITAL HOLDINGS, LP",DE,LIMITED PARTNER,02/2023,E,Y,True,wholly_owned
104581,"PALISADE CAPITAL MANAGEMENT, LP",877,A,"BERMAN, ALISON, ANNE",I,"PALISADE CAPITAL HOLDINGS, LP",LIMITED PARTNER,C,Y,False,parent_brand
104581,"PALISADE CAPITAL MANAGEMENT, LP",877,A,"BERMAN, ALISON, ANNE",I,"PALISADE CAPITAL GP, LLC",MANAGING MEMBER,D,Y,False,wholly_owned
104581,"PALISADE CAPITAL MANAGEMENT, LP",877,A,"BERMAN, ALISON, ANNE",I,"PALISADE CAPITAL GP, LLC",MANAGING MEMBER,,Y,False,
104581,"PALISADE CAPITAL MANAGEMENT, LP",877,A,"PALISADE CAPITAL GP, LLC",DE,"PALISADE CAPITAL HOLDINGS, LP",GENERAL PARTNER,,Y,True,
104592,CHILTON CAPITAL MANAGEMENT LLC,4998,A,"KNAPP BROTHERS, LLC",DE,MEMBER,01/1998,D,Y,True,wholly_owned
104592,CHILTON CAPITAL MANAGEMENT LLC,4998,A,"UNDERWOOD JR., DAVID, MILTON",I,CHAIRMAN OF THE BOARD OF MANAGERS AND CHIEF EXECUTIVE OFFICER,01/2017,B,Y,False,
104592,CHILTON CAPITAL MANAGEMENT LLC,4998,A,"EIXMANN, BRADLEY, JOHN",I,,CHIEF INVESTMENT OFFICER AND SENIOR PORTFOLIO MANAGER,,,False,
104592,CHILTON CAPITAL MANAGEMENT LLC,4998,A,"GENUNG, LAURA, LEMAN",I,,MEMBER OF THE BOARD OF MANAGERS AND PRESIDENT,,,False,
104592,CHILTON CAPITAL MANAGEMENT LLC,4998,A,"LOOTENS, TIMOTHY, JORIS",I,,"MEMBER OF THE BOARD OF MANAGERS, MANGING DIRECTOR AND SECRETARY",,,False,
104592,CHILTON CAPITAL MANAGEMENT LLC,4998,A,"ROBERTSON, JOHN, EDWARD",I,,"MEMBER OF THE BOARD OF MANAGERS, MANGING DIRECTOR AND OFFICER",,,False,
104592,CHILTON CAPITAL MANAGEMENT LLC,4998,A,"FRANK, BRANDON, J",I,,CHIEF FINANCIAL OFFICER,,,False,
104596,DODGE & COX,15,A,"PRIMAS, KATHERINE, MARIE",I,"CHIEF COMPLIANCE OFFICER, VP, & SHAREHOLDER",11/2008,NA,Y,False,
104596,DODGE & COX,15,A,"KAMEDA, ROBERTA, RUMIE WAIYEE",I,"GENERAL COUNSEL, VP, SECRETARY, & SHAREHOLDER",06/2011,NA,Y,False,
104596,DODGE & COX,15,A,"HOEFT, DAVID, CLINTON",I,"CHAIR, CHIEF INVESTMENT OFFICER, DIRECTOR, & SHAREHOLDER",05/2011,B,Y,False,
104596,DODGE & COX,15,A,"KUO, ROGER, GEORGE",I,"CHIEF EXECUTIVE OFFICER, PRESIDENT, DIRECTOR, & SHAREHOLDER",01/2016,B,Y,False,
104596,DODGE & COX,15,A,"SCOTT, STEPHEN",I,"CHIEF FINANCIAL OFFICER, TREASURER, AND ASSISTANT SECRETARY",10/2021,NA,Y,False,
104596,DODGE & COX,15,A,"BARRET, PHILIPPE",I,"DIRECTOR, SVP, & SHAREHOLDER",05/2022,A,Y,False,
104596,DODGE & COX,15,A,"JOHNS, LUCINDA, INGLE",I,"DIRECTOR, SVP, & SHAREHOLDER",05/2022,A,Y,False,
104596,DODGE & COX,15,A,"MERTENS, RAYMOND, JOSEPH",I,"DIRECTOR, SVP, & SHAREHOLDER",05/2022,A,Y,False,
104596,DODGE & COX,15,A,"VOORHIS, STEVEN, COERTE",I,"SVP, DIRECTOR OF RESEARCH, & SHAREHOLDER",05/2022,A,Y,False,
104596,DODGE & COX,15,A,"MARSHALL, HALLIE, WELCH",I,"CHIEF OPERATING OFFICER, VP, & SHAREHOLDER",07/2025,NA,Y,False,
104599,"KAYNE ANDERSON RUDNICK INVESTMENT MANAGEMENT, LLC",7003,A,"VIRTUS PARTNERS, INC.",DE,DIRECT OWNER,09/2005,E,Y,True,wholly_owned
104599,"KAYNE ANDERSON RUDNICK INVESTMENT MANAGEMENT, LLC",7003,A,"RIGALI, STEPHEN, ANTHONY",I,"EXECUTIVE MANAGING DIRECTOR, MANAGEMENT COMMITTEE MEMBER",09/2005,NA,Y,False,
104599,"KAYNE ANDERSON RUDNICK INVESTMENT MANAGEMENT, LLC",7003,A,"VANIAN, JEANNINE, GHAZAR",I,"CHIEF OPERATING OFFICER, MANAGEMENT COMMITTEE MEMBER",09/2005,NA,Y,False,
104599,"KAYNE ANDERSON RUDNICK INVESTMENT MANAGEMENT, LLC",7003,A,"AYLWARD, GEORGE, ROBERT",I,"PRESIDENT AND CHIEF EXECUTIVE OFFICER, VIRTUS INVESTMENT PARTNERS, AND MANAGEMENT COMMITTEE MEMBER",01/2007,NA,Y,False,
104599,"KAYNE ANDERSON RUDNICK INVESTMENT MANAGEMENT, LLC",7003,A,"ANGERTHAL, MICHAEL, AARON",I,"EXECUTIVE VICE PRESIDENT AND CHIEF FINANCIAL OFFICER, VIRTUS INVESTMENT PARTNERS",01/2009,NA,Y,False,
104599,"KAYNE ANDERSON RUDNICK INVESTMENT MANAGEMENT, LLC",7003,A,"SHOEMAKER, MICHAEL, ROBERT",I,CHIEF COMPLIANCE OFFICER,09/2019,NA,Y,False,
104599,"KAYNE ANDERSON RUDNICK INVESTMENT MANAGEMENT, LLC",7003,A,"PURKALITIS, ANDRA, CYNTHIA",I,,"EXECUTIVE VICE PRESIDENT AND CHIEF LEGAL OFFICER, VIRTUS INVESTMENT PARTNERS",,,False,
104599,"KAYNE ANDERSON RUDNICK INVESTMENT MANAGEMENT, LLC",7003,A,"STONE, CRAIG",I,,"CHIEF INVESTMENT OFFICER, MANAGEMENT COMMITTEE MEMBER",,,False,
104601,"FDX ADVISORS, INC.",1528,A,"M3FN, LLC",DE,SOLE SHAREHOLDER,07/2008,E,Y,True,wholly_owned
104601,"FDX ADVISORS, INC.",1528,A,"O'BRIEN, SHELLY, S",I,CORPORATE SECRETARY,09/2025,NA,Y,False,
104601,"FDX ADVISORS, INC.",1528,A,"LARSON, BRADLEY, THOMAS",I,CHIEF COMPLIANCE OFFICER,10/2018,NA,Y,False,
104601,"FDX ADVISORS, INC.",1528,A,"D'AURIA, DANA, MARIE",I,CO-CHIEF INVESTMENT OFFICER,09/2020,NA,Y,False,
104601,"FDX ADVISORS, INC.",1528,A,"TODD, CHRISTOPHER, RUSSELL",I,CHIEF EXECUTIVE OFFICER,02/2025,NA,Y,False,
104601,"FDX ADVISORS, INC.",1528,A,"EVANS, KATHRYN, MICHELE",I,CHIEF OPERATIONS OFFICER,01/2025,NA,Y,False,
104601,"FDX ADVISORS, INC.",1528,A,"Hofmann, John",I,CHIEF FINANCIAL OFFICER,09/2025,NA,Y,False,
104601,"FDX ADVISORS, INC.",1528,A,"FOLIO DYNAMICS, INC.",DE,"M3FN, LLC",SOLE MEMBER,E,Y,True,wholly_owned
104601,"FDX ADVISORS, INC.",1528,A,"FOLIO DYNAMICS HOLDINGS, INC.",DE,"FOLIO DYNAMICS, INC.",MEMBER,E,Y,True,wholly_owned
104601,"FDX ADVISORS, INC.",1528,A,"ENVESTNET, INC.",DE,"FOLIO DYNAMICS HOLDINGS, INC.",SOLE SHAREHOLDER,E,Y,True,wholly_owned
104601,"FDX ADVISORS, INC.",1528,A,"BAIN CAPITAL FUND XIII, L.P.",DE,"BCPE PEQUOD INVESTOR, LP",OWNER,C,N,True,parent_brand
104601,"FDX ADVISORS, INC.",1528,A,"BCPE PEQUOD BUYER, INC.",DE,"ENVESTNET, INC.",OWNER,E,Y,True,wholly_owned
104601,"FDX ADVISORS, INC.",1528,A,"BCPE PEQUOD PARENT , INC.",DE,"BCPE PEQUOD INTERMEDIATE, LLC",OWNER,E,Y,True,wholly_owned
104601,"FDX ADVISORS, INC.",1528,A,"BCPE PEQUOD INTERMEDIATE, LLC",DE,"BCPE PEQUOD BUYER, INC.",OWNER,E,Y,True,wholly_owned
104601,"FDX ADVISORS, INC.",1528,A,"BCPE PEQUOD TOPCO, LP",DE,"BCPE PEQUOD PARENT , INC.",OWNER,E,Y,True,wholly_owned
